Quarter,"Revenue 
(TW$ Billions)",USD/TWD,"Revenue
($ millions)","Wafer Shipments (kpcs, 12-inch equiv)",3nm,5nm,7nm,10nm,16/20nm,16nm,20nm,28nm,40/45nm,65nm,90nm,0.11/0.13um,0.15 / 0.18um,0.25um and above,
1Q21,362.41,0.03578,"12,967","3,359",0,14,35,0,0,14,0,11,7,5,3,3,6,2,
2Q21,372.15,0.03581,"13,327","3,449",0,18,31,0,0,14,0,11,7,5,3,3,6,2,
3Q21,414.67,0.03580,"14,845","3,646",0,18,34,0,0,13,0,10,8,4,2,3,6,2,
4Q21,438.19,0.03595,"15,753","3,725",0,23,27,0,0,13,0,11,8,5,2,3,6,2,
1Q22,491.08,0.03603,"17,694","3,778",0,20,30,0,0,14,0,11,8,5,2,3,6,1,
2Q22,534.14,0.03390,"18,107","3,799",0,21,30,0,0,14,0,10,8,5,2,3,6,1,
3Q22,613.14,0.03314,"20,319","3,974",0,28,26,0,0,12,0,10,7,5,2,3,6,1,
4Q22,625.53,0.03112,"19,466","3,702",0,32,22,0,0,12,0,11,7,5,2,3,5,1,
1Q23,508.63,0.03364,"17,110","3,227",0,31,20,0,0,13,1,12,7,6,2,2,5,1,
2Q23,480.84,0.03252,"15,637","2,916",0,30,23,0,0,11,1,11,7,7,2,2,5,1,
3Q23,546.73,0.03165,"17,304","2,902",6,37,16,0,0,9,1,10,6,6,1,3,4,1,
4Q23,625.53,0.03083,"19,285","2,957",15,35,17,0,0,8,0,7,4,5,1,3,4,1,
1Q24,592.64,0.03200,"18,964","3,030",9,37,19,0,0,9,0,8,5,4,1,3,4,1,
2Q24,673.51,0.03075,"20,710","3,125",15,35,17,0,0,9,0,8,5,3,1,2,4,1,
3Q24,759.69,0.03050,"23,171","3,338",20,32,17,0,0,8,0,7,4,4,1,2,4,1,
4Q24,868.46,0.03132,"27,200","3,418",26,34,14,0,0,7,0,6,3,4,1,2,3,0,
1Q25,839.25,0.03030,"25,429","3,259",22,36,15,0,7,0,0,7,3,4,1,2,3,0,
2Q25,933.79,0.03113,"29,069","3,718",24,36,14,0,7,0,0,7,3,3,1,2,3,0,
3Q25,989.92,0.03366,"33,321","4,085",23,37,14,0,7,0,0,7,3,4,1,1,3,0,
